date,country,province,population,cases,new_cases,avg7_new_cases,avg7_new_cases_100k,deaths,new_deaths,avg7_new_deaths,avg7_new_deaths_100k
2021-10-07,India,Tripura,4169794,84223,12,10.714285714285714,0.25695000075029395,815,0,0.2857142857142857,0.0068520000200078405
2021-10-07,India,Uttar Pradesh,237882725,1709917,15,14.714285714285714,0.006185520917622629,22896,0,0.5714285714285714,2.4021440456786907e-4
2021-10-07,India,Uttarakhand,11250858,343626,8,12.714285714285714,0.11300725432927618,7396,0,0.2857142857142857,0.0025394888613320486
2021-10-07,India,West Bengal,99609303,1574017,771,706.7142857142857,0.709486227119053,18876,13,11.857142857142858,0.011903650060820984
2021-10-08,India,Andaman and Nicobar Islands,417036,7629,0,1.1428571428571428,0.2740428027453608,129,0,0,0
2021-10-08,India,Andhra Pradesh,53903393,2055999,693,695.1428571428571,1.289608721185431,14242,6,8,0.014841366293954817
2021-10-08,India,Arunachal Pradesh,1570458,54865,21,26.428571428571427,1.6828575758518487,280,1,0.42857142857142855,0.02728958231111106
2021-10-08,India,Assam,35607039,604536,318,295.7142857142857,0.8304938967665514,5916,5,5.714285714285714,0.01604819124186573
2021-10-08,India,Bihar,124799926,725983,4,3.142857142857143,0.002518316511547565,9661,0,0,0
2021-10-08,India,Chandigarh,1158473,65273,5,5.857142857142857,0.5055916587734764,820,0,0.14285714285714285,0.012331503872523818
2021-10-08,India,Chhattisgarh,29436231,1005485,21,15.142857142857142,0.05144292128587095,13569,1,0.42857142857142855,0.0014559317345057814
2021-10-08,India,Dadra and Nagar Haveli and Daman and Diu,615724,10672,0,0.2857142857142857,0.0464029801849994,4,0,0,0
2021-10-08,India,Delhi,18710922,1439136,39,33.714285714285715,0.18018505830063167,25088,0,0.14285714285714285,7.634960097484393e-4
2021-10-08,India,Goa,1586250,176980,56,66.42857142857143,4.187774400540358,3325,2,1.1428571428571428,0.07204773162219971
2021-10-08,India,Gujarat,63872399,826099,19,21,0.03287805112815631,10085,0,0.42857142857142855,6.709806352684961e-4
2021-10-08,India,Haryana,28204692,770975,14,12.142857142857142,0.043052613880191076,9875,0,0.14285714285714285,5.065013397669539e-4
2021-10-08,India,Himachal Pradesh,7451955,220254,193,144.28571428571428,1.9362129036704365,3696,2,2.4285714285714284,0.03258972214098754
2021-10-08,India,Jammu and Kashmir,13606320,330352,100,112.71428571428571,0.8283965518544743,4426,0,0.42857142857142855,0.0031497967751120694
2021-10-08,India,Jharkhand,38593948,348334,20,13.714285714285714,0.03553480901794684,5135,0,0,0
2021-10-08,India,Karnataka,67562686,2980170,397,511.57142857142856,0.7571804184508422,37866,5,8.428571428571429,0.01247518701161678
2021-10-08,India,Kerala,35699443,4774639,10944,11421,31.992095787040707,26072,120,127.14285714285714,0.35614801368989746
2021-10-08,India,Ladakh,289023,20848,5,5.571428571428571,1.927676541807597,208,0,0.14285714285714285,0.04942760363609223
2021-10-08,India,Lakshadweep,73183,10364,0,0.42857142857142855,0.5856160974152858,51,0,0,0
2021-10-08,India,Madhya Pradesh,85358965,792606,6,9.142857142857142,0.010711068418949483,10522,0,0,0
2021-10-08,India,Maharashtra,123144223,6573092,2620,2733,2.2193489336483125,139470,59,50.42857142857143,0.04095082189001382
2021-10-08,India,Manipur,3091545,121706,128,137.57142857142858,4.449924829540848,1882,6,3.4285714285714284,0.11090155338419554
2021-10-08,India,Meghalaya,3366710,82283,121,119.71428571428571,3.5558241046685253,1415,2,1.5714285714285714,0.04667549540734341
2021-10-08,India,Mizoram,1239244,104659,950,1171.857142857143,94.56226077004551,344,2,4.285714285714286,0.34583296636613015
2021-10-08,India,Nagaland,2249695,31410,13,20.714285714285715,0.9207597347322954,669,1,0.42857142857142855,0.019050201408254388
2021-10-08,India,Odisha,46356334,1030518,524,509.2857142857143,1.0986324205139135,8238,4,5.142857142857143,0.011094184330575284
2021-10-08,India,Puducherry,1413542,126893,87,66,4.669121964540142,1845,1,0.7142857142857143,0.05053162299285867
2021-10-08,India,Punjab,30141373,601821,16,22.714285714285715,0.07535916069346182,16529,3,1.5714285714285714,0.005213526840428176
2021-10-08,India,Rajasthan,81032689,954354,5,3.2857142857142856,0.004054801002240325,8954,0,0,0
2021-10-08,India,Sikkim,690251,31636,33,22,3.1872463784913023,388,0,0.14285714285714285,0.020696405055138326
2021-10-08,India,Tamil Nadu,77841267,2675592,1359,1458,1.8730424827232064,35754,20,21.571428571428573,0.027712072789653555
2021-10-08,India,Telangana,38510982,667535,201,193.14285714285714,0.5015266999497887,3927,1,1.1428571428571428,0.0029676136091703474
2021-10-08,India,Tripura,4169794,84237,14,10.571428571428571,0.2535240007402901,816,1,0.2857142857142857,0.0068520000200078405
2021-10-08,India,Uttar Pradesh,237882725,1709928,11,13.285714285714286,0.005584984906202956,22896,0,0.5714285714285714,2.4021440456786907e-4
2021-10-08,India,Uttarakhand,11250858,343645,19,13.571428571428571,0.12062572091327231,7396,0,0.14285714285714285,0.0012697444306660243
2021-10-08,India,West Bengal,99609303,1574801,784,717.5714285714286,0.720385954885588,18882,6,10.857142857142858,0.010899727766534877
2021-10-09,India,Andaman and Nicobar Islands,417036,7632,3,1.4285714285714286,0.342553503431701,129,0,0,0
2021-10-09,India,Andhra Pradesh,53903393,2056628,629,661.4285714285714,1.2270629632323358,14250,8,7.857142857142857,0.014576341895848478
2021-10-09,India,Arunachal Pradesh,1570458,54881,16,26.857142857142858,1.71014715816296,280,0,0.42857142857142855,0.02728958231111106
2021-10-09,India,Assam,35607039,604809,273,299.57142857142856,0.8413264258548108,5921,5,5.857142857142857,0.01644939602291237
2021-10-09,India,Bihar,124799926,725987,4,3.142857142857143,0.002518316511547565,9661,0,0,0
2021-10-09,India,Chandigarh,1158473,65277,4,6,0.5179231626460004,820,0,0.14285714285714285,0.012331503872523818
2021-10-09,India,Chhattisgarh,29436231,1005511,26,17.714285714285715,0.06017851169290565,13570,1,0.5714285714285714,0.0019412423126743755
2021-10-09,India,Dadra and Nagar Haveli and Daman and Diu,615724,10672,0,0.2857142857142857,0.0464029801849994,4,0,0,0
2021-10-09,India,Delhi,18710922,1439166,30,33.285714285714285,0.17789457027138633,25088,0,0,0
2021-10-09,India,Goa,1586250,177040,60,63.714285714285715,4.0166610379376335,3326,1,1.2857142857142858,0.08105369807497467
2021-10-09,India,Gujarat,63872399,826123,24,20.571428571428573,0.03220707049288782,10086,1,0.5714285714285714,8.946408470246615e-4
2021-10-09,India,Haryana,28204692,770984,9,11.428571428571429,0.04052010718135631,9875,0,0.14285714285714285,5.065013397669539e-4
2021-10-09,India,Himachal Pradesh,7451955,220392,138,151.28571428571428,2.030147985135636,3699,3,2.5714285714285716,0.034506764619869165
2021-10-09,India,Jammu and Kashmir,13606320,330434,82,106.71428571428571,0.7842993970029053,4426,0,0.2857142857142857,0.0020998645167413796
2021-10-09,India,Jharkhand,38593948,348343,9,12.571428571428571,0.03257357493311794,5135,0,0,0
2021-10-09,India,Karnataka,67562686,2980621,451,485.14285714285717,0.7180633066347557,37875,9,9.142857142857142,0.013532406249889387
2021-10-09,India,Kerala,35699443,4784109,9470,10885.714285714286,30.49267263277549,26173,101,124.28571428571429,0.34814468753956274
2021-10-09,India,Ladakh,289023,20849,1,5.285714285714286,1.8288213345354127,208,0,0.14285714285714285,0.04942760363609223
2021-10-09,India,Lakshadweep,73183,10365,1,0.5714285714285714,0.780821463220381,51,0,0,0
2021-10-09,India,Madhya Pradesh,85358965,792614,8,9.571428571428571,0.011213149751087741,10523,1,0.14285714285714285,1.6736044404608568e-4
2021-10-09,India,Maharashtra,123144223,6575578,2486,2703,2.194987254903545,139514,44,49.714285714285715,0.04037078191990031
2021-10-09,India,Manipur,3091545,121853,147,139.14285714285714,4.500754708175269,1882,0,3.142857142857143,0.10165975726884593
2021-10-09,India,Meghalaya,3366710,82364,81,112.71428571428571,3.347905988763087,1417,2,1.7142857142857142,0.05091872226255645
2021-10-09,India,Mizoram,1239244,105829,1170,1156.7142857142858,93.34031762221852,347,3,4.285714285714286,0.34583296636613015
2021-10-09,India,Nagaland,2249695,31441,31,20.857142857142858,0.9271098018683803,671,2,0.7142857142857143,0.03175033568042398
2021-10-09,India,Odisha,46356334,1031044,526,516.1428571428571,1.1134246662880138,8242,4,4.714285714285714,0.01016966896969401
2021-10-09,India,Puducherry,1413542,126977,84,66.28571428571429,4.689334613737285,1846,1,0.8571428571428571,0.0606379475914304
2021-10-09,India,Punjab,30141373,601849,28,21.571428571428573,0.07156750480951407,16529,0,1.2857142857142858,0.004265612869441235
2021-10-09,India,Rajasthan,81032689,954355,1,2.5714285714285716,0.0031733225234924288,8954,0,0,0
2021-10-09,India,Sikkim,690251,31654,18,21,3.042371543105334,388,0,0,0
2021-10-09,India,Tamil Nadu,77841267,2676936,1344,1424.5714285714287,1.8300979460822866,35768,14,20.142857142857142,0.025876836181067227
2021-10-09,India,Telangana,38510982,667725,190,191.57142857142858,0.4974462312371795,3929,2,1.2857142857142858,0.0033385653103166412
2021-10-09,India,Tripura,4169794,84256,19,12,0.2877840008403293,816,0,0.14285714285714285,0.0034260000100039202
2021-10-09,India,Uttar Pradesh,237882725,1709938,10,13.428571428571429,0.005645038507344923,22896,0,0.2857142857142857,1.2010720228393454e-4
2021-10-09,India,Uttarakhand,11250858,343662,17,15.285714285714286,0.1358626540812646,7396,0,0.14285714285714285,0.0012697444306660243
2021-10-09,India,West Bengal,99609303,1575577,776,719.7142857142857,0.7225372169447724,18894,12,11.285714285714286,0.011329980178371779
2021-10-10,India,Andaman and Nicobar Islands,417036,7633,1,1.4285714285714286,0.342553503431701,129,0,0,0
2021-10-10,India,Andhra Pradesh,53903393,2057252,624,641.2857142857143,1.1896945230993425,14254,4,7.142857142857143,0.013251219905316802
2021-10-10,India,Arunachal Pradesh,1570458,54900,19,25,1.5918923014814785,280,0,0.42857142857142855,0.02728958231111106
2021-10-10,India,Assam,35607039,604969,160,294.85714285714283,0.8280866680802715,5926,5,6.428571428571429,0.018054215147098946
2021-10-10,India,Bihar,124799926,725996,9,4,0.0032051301056059923,9661,0,0,0
2021-10-10,India,Chandigarh,1158473,65279,2,6,0.5179231626460004,820,0,0.14285714285714285,0.012331503872523818
2021-10-10,India,Chhattisgarh,29436231,1005530,19,18.285714285714285,0.062119754005580015,13570,0,0.5714285714285714,0.0019412423126743755
2021-10-10,India,Dadra and Nagar Haveli and Daman and Diu,615724,10672,0,0.2857142857142857,0.0464029801849994,4,0,0,0
2021-10-10,India,Delhi,18710922,1439195,29,32.714285714285715,0.1748405862323926,25089,1,0.14285714285714285,7.634960097484393e-4
2021-10-10,India,Goa,1586250,177113,73,67.85714285714286,4.277834065068108,3329,3,1.7142857142857142,0.10807159743329955
2021-10-10,India,Gujarat,63872399,826141,18,19.857142857142858,0.03108876943410699,10086,0,0.5714285714285714,8.946408470246615e-4
2021-10-10,India,Haryana,28204692,770993,9,11.142857142857142,0.0395071045018224,9875,0,0.14285714285714285,5.065013397669539e-4
2021-10-10,India,Himachal Pradesh,7451955,220479,87,154.14285714285714,2.0684888347132686,3704,5,3.2857142857142856,0.044091977014277264
2021-10-10,India,Jammu and Kashmir,13606320,330533,99,106.28571428571429,0.7811496002277933,4426,0,0.2857142857142857,0.0020998645167413796
2021-10-10,India,Jharkhand,38593948,348352,9,12.571428571428571,0.03257357493311794,5135,0,0,0
2021-10-10,India,Karnataka,67562686,2981027,406,448.2857142857143,0.6635107939398891,37885,10,9.428571428571429,0.013955293945198432
2021-10-10,India,Kerala,35699443,4794800,10691,10656.285714285714,29.85000554290361,26258,85,125.85714285714286,0.3525465169222468
2021-10-10,India,Ladakh,289023,20852,3,4.285714285714286,1.4828281090827669,208,0,0.14285714285714285,0.04942760363609223
2021-10-10,India,Lakshadweep,73183,10365,0,0.5714285714285714,0.780821463220381,51,0,0,0
2021-10-10,India,Madhya Pradesh,85358965,792621,7,9.285714285714286,0.01087842886299557,10523,0,0.14285714285714285,1.6736044404608568e-4
2021-10-10,India,Maharashtra,123144223,6577872,2294,2646.1428571428573,2.14881607328251,139542,28,47.857142857142854,0.03886267799760518
2021-10-10,India,Manipur,3091545,122003,150,136.71428571428572,4.422199441194798,1885,3,3.2857142857142856,0.10628065532652074
2021-10-10,India,Meghalaya,3366710,82423,59,96.57142857142857,2.8684213541240133,1421,4,2,0.059405175972982525
2021-10-10,India,Mizoram,1239244,106136,307,1137.2857142857142,91.77254150802538,356,9,5.142857142857143,0.4149995596393562
2021-10-10,India,Nagaland,2249695,31449,8,19.571428571428573,0.8699591976436172,671,0,0.7142857142857143,0.03175033568042398
2021-10-10,India,Odisha,46356334,1031696,652,533.8571428571429,1.1516379678711066,8249,7,5,0.010786012543614859
2021-10-10,India,Puducherry,1413542,127053,76,72.57142857142857,5.134012896074441,1846,0,0.7142857142857143,0.05053162299285867
2021-10-10,India,Punjab,30141373,601876,27,22,0.07298937576599447,16531,2,1.5714285714285714,0.005213526840428176
2021-10-10,India,Rajasthan,81032689,954359,4,3,0.003702209610741166,8954,0,0,0
2021-10-10,India,Sikkim,690251,31667,13,20.285714285714285,2.9388895178296424,388,0,0,0
2021-10-10,India,Tamil Nadu,77841267,2678265,1329,1395.7142857142858,1.7930261665888425,35783,15,19,0.024408646894198166
2021-10-10,India,Telangana,38510982,667887,162,191.57142857142858,0.4974462312371795,3930,1,1.2857142857142858,0.0033385653103166412
2021-10-10,India,Tripura,4169794,84260,4,11.714285714285714,0.28093200082032144,816,0,0.14285714285714285,0.0034260000100039202
2021-10-10,India,Uttar Pradesh,237882725,1709954,16,13.857142857142858,0.005825199310770825,22896,0,0.2857142857142857,1.2010720228393454e-4
2021-10-10,India,Uttarakhand,11250858,343668,6,14.428571428571429,0.12824418749726846,7396,0,0.14285714285714285,0.0012697444306660243
2021-10-10,India,West Bengal,99609303,1576337,760,728.1428571428571,0.7309988477108982,18905,11,11.428571428571429,0.01147339764898408
2021-10-11,India,Andaman and Nicobar Islands,417036,7634,1,1.4285714285714286,0.342553503431701,129,0,0,0
2021-10-11,India,Andhra Pradesh,53903393,2057562,310,624.2857142857143,1.1581566197246884,14256,2,6.857142857142857,0.012721171109104127
2021-10-11,India,Arunachal Pradesh,1570458,54924,24,24.571428571428573,1.5646027191703678,280,0,0.42857142857142855,0.02728958231111106
2021-10-11,India,Assam,35607039,605239,270,285.85714285714283,0.802810766874333,5931,5,5.857142857142857,0.01644939602291237
2021-10-11,India,Bihar,124799926,725998,2,3.857142857142857,0.0030906611732629207,9661,0,0,0
2021-10-11,India,Chandigarh,1158473,65280,1,5.285714285714286,0.4562656432833813,820,0,0.14285714285714285,0.012331503872523818
2021-10-11,India,Chhattisgarh,29436231,1005554,24,20.285714285714285,0.06891410209994032,13570,0,0.2857142857142857,9.706211563371877e-4
